obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,redshift,plate,MJD,fiber_ID
1.237678920203633e+18,357.603319185378,12.7589760108285,20.97565,20.49254,20.65956,20.82473,20.3676,7763,301,4,186,6.924559133913143e+18,2.081834,6150,56187,999
1.237678920203634e+18,37.603313385372,0.45678245675,21.67546,20.49255,20.65957,20.82474,20.3677,2223,301,2,232,4.924559133913143e+19,2.081835,6151,56188,999
1.247678920203645e+18,28.603319185378,4.7589760108285,20.97567,20.49256,20.65958,20.82475,20.3678,4620,301,5,32,7.92455463913143e+18,1.081836,6152,56189,999
1.237678920703626e+18,65.6033191853432,1.7589760108232,20.97568,20.49257,20.65959,20.82476,20.3679,3689,301,3,386,1.924559133913143e+19,2.081837,6153,56190,999
1.237676520203633e+18,74.545319185378,8.7589764456677,20.97569,20.49258,20.65960,20.82477,20.3680,7208,301,1,441,2.924559133913143e+18,2.081838,6154,56191,999
1.237678920203633e+18,83.60331225373,10.7589760108285,20.97570,20.49259,20.65961,20.82478,20.3681,5430,301,1,385,6.88559133913143e+19,2.081839,3155,56192,999
1.237678920203633e+18,154.6033322345,11.7589760108285,20.97571,19.49260,20.65962,20.82479,20.3682,4320,301,4,186,3.667559133913143e+18,2.081840,5156,56193,998
1.237678920203633e+18,357.783319185,9.7589760108285,20.97572,20.49261,20.65963,20.82480,20.3683,4567,301,2,176,2.324559133913143e+18,2.081841,6157,56194,999
1.237678920203637e+18,223.603319185378,3.7589760108285,19.97573,20.49262,20.65964,20.82481,20.3684,2398,301,2,286,6.847533133913156e+19,2.081842,6158,56195,999
1.237678920203673e+18,76.60331911234,11.7589760108285,21.97574,21.49263,20.65965,20.82482,20.3685,7653,301,3,86,4.92639133913143e+18,2.081843,4159,56196,999
1.237678920202343e+18,85.5677185378,5.7589760108285,20.97575,20.49264,20.65966,20.82483,20.3686,2457,301,3,52,6.774559133913143e+18,3.081844,4160,56197,998
1.237678920203621e+18,132.43219185378,7.7589760108284,18.97576,20.49265,20.65967,20.82484,20.3687,6476,301,2,334,6.624559133913143e+18,2.051845,5161,56198,999
1.237645620203722e+18,12.603319185378,8.758974430285,20.97577,20.49266,20.65968,20.82485,20.3688,5345,301,2,216,6.3454559133913143e+18,2.081846,6162,56199,999
1.237678920203634e+18,54.603319144378,9.7589760108285,22.00072,20.49267,20.65969,20.82486,20.3689,3467,301,2,154,5.3459133913143e+18,2.081847,6163,56200,999
1.237678921233633e+18,353.603319185382,-1.7589760108285,20.97579,20.49268,20.65970,20.82487,20.3690,1234,301,4,146,5.779559133913143e+18,1.081848,6164,56201,999
1.237678921203643e+18,298.60331918578,2.7589760108285,20.97580,20.49269,20.65971,20.82488,20.3691,3435,301,5,35,4.924559133913143e+18,2.081849,2165,56202,998
1.237678920203623e+18,17.603318,6.7589760108285,19.97581,20.49270,20.65972,20.82489,20.3692,645,301,3,87,5.924559133913143e+18,2.081850,4166,56203,999
